seed,method,call,best_feasible_qor,cum_failed_eda_runtime_s,cum_total_eda_runtime_s,cum_optimizer_overhead_s
11,vanilla_bo_penalty,1,0.311299618,0.000,788.383,0.0000
11,vanilla_bo_penalty,2,0.311299618,578.012,1366.394,0.0000
11,vanilla_bo_penalty,3,0.311299618,1280.171,2068.554,0.0000
11,vanilla_bo_penalty,4,0.311299618,2037.031,2825.413,0.0000
11,vanilla_bo_penalty,5,0.311299618,2572.084,3360.467,0.0000
11,vanilla_bo_penalty,6,0.311299618,3331.740,4120.122,0.0000
11,vanilla_bo_penalty,7,0.311299618,3849.423,4637.805,0.0000
11,vanilla_bo_penalty,8,0.311299618,4382.072,5170.454,0.0000
11,vanilla_bo_penalty,9,0.311299618,4382.072,5953.491,0.0087
11,vanilla_bo_penalty,10,0.311299618,5028.883,6600.302,0.0171
11,vanilla_bo_penalty,11,0.311299618,5610.846,7182.265,0.0244
11,vanilla_bo_penalty,12,0.311299618,5610.846,7970.895,0.0327
11,vanilla_bo_penalty,13,0.311299618,6190.543,8550.591,0.0387
11,vanilla_bo_penalty,14,0.311299618,6888.215,9248.264,0.0454
11,vanilla_bo_penalty,15,-0.093068237,6888.215,9852.439,0.0529
11,vanilla_bo_penalty,16,-0.093068237,6888.215,10464.313,0.0597
11,vanilla_bo_penalty,17,-0.093068237,8225.514,11801.613,0.0661
11,vanilla_bo_penalty,18,-0.093068237,8225.514,12409.414,0.0744
11,vanilla_bo_penalty,19,-0.093068237,8726.500,12910.399,0.0815
11,vanilla_bo_penalty,20,-0.093068237,9376.405,13560.304,0.0898
11,vanilla_bo_penalty,21,-0.093068237,10714.546,14898.445,0.0964
11,vanilla_bo_penalty,22,-0.093068237,12059.742,16243.641,0.1055
11,vanilla_bo_penalty,23,-0.093068237,12566.497,16750.396,0.1129
11,vanilla_bo_penalty,24,-0.093068237,13322.465,17506.364,0.1223
11,flowguard_calibrated,1,0.311299618,0.000,788.383,0.0000
11,flowguard_calibrated,2,0.311299618,578.012,1366.394,0.0000
11,flowguard_calibrated,3,0.311299618,1280.171,2068.554,0.0000
11,flowguard_calibrated,4,0.311299618,2037.031,2825.413,0.0000
11,flowguard_calibrated,5,0.311299618,2572.084,3360.467,0.0000
